ID,site,year,month,day,hour,holiday,maxtemp,mintemp,weatherType,load
188,14,2016,3,1,3.0,0,22.0,10.1,1,0.655
189,15,2016,3,1,3.0,0,22.0,10.1,1,1.777
190,17,2016,3,1,3.0,0,22.0,10.1,1,1.024
191,18,2016,3,1,3.0,0,22.0,10.1,1,1.494
192,19,2016,3,1,3.0,0,22.0,10.1,1,1.517
193,20,2016,3,1,3.0,0,22.0,10.1,1,1.897
194,21,2016,3,1,3.0,0,22.0,10.1,1,2.453
195,0,2016,3,1,3.25,0,22.0,10.1,1,-18.595
196,3,2016,3,1,3.25,0,22.0,10.1,1,0.684
197,4,2016,3,1,3.25,0,22.0,10.1,1,0.137
198,5,2016,3,1,3.25,0,22.0,10.1,1,3.899
199,8,2016,3,1,3.25,0,22.0,10.1,1,-4.74
200,9,2016,3,1,3.25,0,22.0,10.1,1,-7.357
201,10,2016,3,1,3.25,0,22.0,10.1,1,-6.634
202,13,2016,3,1,3.25,0,22.0,10.1,1,2.079
203,14,2016,3,1,3.25,0,22.0,10.1,1,0.643
204,15,2016,3,1,3.25,0,22.0,10.1,1,1.701
205,17,2016,3,1,3.25,0,22.0,10.1,1,0.974
206,18,2016,3,1,3.25,0,22.0,10.1,1,1.745
207,19,2016,3,1,3.25,0,22.0,10.1,1,1.694
208,20,2016,3,1,3.25,0,22.0,10.1,1,1.985
209,21,2016,3,1,3.25,0,22.0,10.1,1,2.883
210,0,2016,3,1,3.5,0,22.0,10.1,1,-18.434
211,3,2016,3,1,3.5,0,22.0,10.1,1,0.701
212,4,2016,3,1,3.5,0,22.0,10.1,1,0.171
213,5,2016,3,1,3.5,0,22.0,10.1,1,3.865
214,8,2016,3,1,3.5,0,22.0,10.1,1,-4.74
215,9,2016,3,1,3.5,0,22.0,10.1,1,-7.137
216,10,2016,3,1,3.5,0,22.0,10.1,1,-6.341
217,13,2016,3,1,3.5,0,22.0,10.1,1,2.155
218,14,2016,3,1,3.5,0,22.0,10.1,1,0.668
219,15,2016,3,1,3.5,0,22.0,10.1,1,1.701
220,17,2016,3,1,3.5,0,22.0,10.1,1,0.974
221,18,2016,3,1,3.5,0,22.0,10.1,1,1.797
222,19,2016,3,1,3.5,0,22.0,10.1,1,1.694
223,20,2016,3,1,3.5,0,22.0,10.1,1,2.187
224,21,2016,3,1,3.5,0,22.0,10.1,1,2.301
225,0,2016,3,1,3.75,0,22.0,10.1,1,-17.951
226,3,2016,3,1,3.75,0,22.0,10.1,1,0.684
227,4,2016,3,1,3.75,0,22.0,10.1,1,0.154
228,5,2016,3,1,3.75,0,22.0,10.1,1,3.574
229,8,2016,3,1,3.75,0,22.0,10.1,1,-4.398
230,9,2016,3,1,3.75,0,22.0,10.1,1,-7.21
231,10,2016,3,1,3.75,0,22.0,10.1,1,-6.341
232,13,2016,3,1,3.75,0,22.0,10.1,1,1.966
233,14,2016,3,1,3.75,0,22.0,10.1,1,0.567
234,15,2016,3,1,3.75,0,22.0,10.1,1,1.676
235,17,2016,3,1,3.75,0,22.0,10.1,1,0.961
236,18,2016,3,1,3.75,0,22.0,10.1,1,1.754
237,19,2016,3,1,3.75,0,22.0,10.1,1,1.606
238,20,2016,3,1,3.75,0,22.0,10.1,1,2.225
239,21,2016,3,1,3.75,0,22.0,10.1,1,2.668
240,0,2016,3,1,4.0,0,22.0,10.1,1,-17.871
241,3,2016,3,1,4.0,0,22.0,10.1,1,0.718
242,4,2016,3,1,4.0,0,22.0,10.1,1,0.154
243,5,2016,3,1,4.0,0,22.0,10.1,1,3.078
244,8,2016,3,1,4.0,0,22.0,10.1,1,-4.185
245,9,2016,3,1,4.0,0,22.0,10.1,1,-7.393
246,10,2016,3,1,4.0,0,22.0,10.1,1,-6.195
247,13,2016,3,1,4.0,0,22.0,10.1,1,1.953
248,14,2016,3,1,4.0,0,22.0,10.1,1,0.504
249,15,2016,3,1,4.0,0,22.0,10.1,1,1.764
250,17,2016,3,1,4.0,0,22.0,10.1,1,0.999
251,18,2016,3,1,4.0,0,22.0,10.1,1,1.399
252,19,2016,3,1,4.0,0,22.0,10.1,1,1.808
253,20,2016,3,1,4.0,0,22.0,10.1,1,2.2
254,21,2016,3,1,4.0,0,22.0,10.1,1,2.959
255,0,2016,3,1,4.25,0,22.0,10.1,1,-17.307
256,3,2016,3,1,4.25,0,22.0,10.1,1,0.701
257,4,2016,3,1,4.25,0,22.0,10.1,1,0.154
258,5,2016,3,1,4.25,0,22.0,10.1,1,2.975
259,8,2016,3,1,4.25,0,22.0,10.1,1,-3.886
260,9,2016,3,1,4.25,0,22.0,10.1,1,-7.357
261,10,2016,3,1,4.25,0,22.0,10.1,1,-6.244
262,13,2016,3,1,4.25,0,22.0,10.1,1,1.814
263,14,2016,3,1,4.25,0,22.0,10.1,1,0.491
264,15,2016,3,1,4.25,0,22.0,10.1,1,1.751
265,17,2016,3,1,4.25,0,22.0,10.1,1,0.974
266,18,2016,3,1,4.25,0,22.0,10.1,1,2.009
267,19,2016,3,1,4.25,0,22.0,10.1,1,1.631
268,20,2016,3,1,4.25,0,22.0,10.1,1,1.985
269,21,2016,3,1,4.25,0,22.0,10.1,1,2.617
270,0,2016,3,1,4.5,0,22.0,10.1,1,-17.307
271,3,2016,3,1,4.5,0,22.0,10.1,1,0.735
272,4,2016,3,1,4.5,0,22.0,10.1,1,0.154
273,5,2016,3,1,4.5,0,22.0,10.1,1,3.01
274,8,2016,3,1,4.5,0,22.0,10.1,1,-3.971
275,9,2016,3,1,4.5,0,22.0,10.1,1,-7.283
276,10,2016,3,1,4.5,0,22.0,10.1,1,-6.097
277,13,2016,3,1,4.5,0,22.0,10.1,1,1.827
278,14,2016,3,1,4.5,0,22.0,10.1,1,0.403
279,15,2016,3,1,4.5,0,22.0,10.1,1,1.89
280,17,2016,3,1,4.5,0,22.0,10.1,1,1.012
281,18,2016,3,1,4.5,0,22.0,10.1,1,1.723
282,19,2016,3,1,4.5,0,22.0,10.1,1,1.732
283,20,2016,3,1,4.5,0,22.0,10.1,1,1.846
284,21,2016,3,1,4.5,0,22.0,10.1,1,2.794
285,0,2016,3,1,4.75,0,22.0,10.1,1,-17.146
286,3,2016,3,1,4.75,0,22.0,10.1,1,0.752
287,4,2016,3,1,4.75,0,22.0,10.1,1,0.154
288,5,2016,3,1,4.75,0,22.0,10.1,1,3.198
289,8,2016,3,1,4.75,0,22.0,10.1,1,-4.099
290,9,2016,3,1,4.75,0,22.0,10.1,1,-6.991
291,10,2016,3,1,4.75,0,22.0,10.1,1,-6.097
292,13,2016,3,1,4.75,0,22.0,10.1,1,1.84
293,14,2016,3,1,4.75,0,22.0,10.1,1,0.542
