ID,site,year,month,day,hour,holiday,maxtemp,mintemp,weatherType,load
153,0.238,0.0,0.0,0.0,0.105,0.0,0.812,0.27,0.0,4.258
154,0.381,0.0,0.0,0.0,0.105,0.0,0.812,0.27,0.0,5.167
155,0.429,0.0,0.0,0.0,0.105,0.0,0.812,0.27,0.0,7.137
156,0.476,0.0,0.0,0.0,0.105,0.0,0.812,0.27,0.0,6.537
157,0.619,0.0,0.0,0.0,0.105,0.0,0.812,0.27,0.0,2.079
158,0.667,0.0,0.0,0.0,0.105,0.0,0.812,0.27,0.0,0.995
159,0.714,0.0,0.0,0.0,0.105,0.0,0.812,0.27,0.0,1.84
160,0.81,0.0,0.0,0.0,0.105,0.0,0.812,0.27,0.0,0.961
161,0.857,0.0,0.0,0.0,0.105,0.0,0.812,0.27,0.0,1.537
162,0.905,0.0,0.0,0.0,0.105,0.0,0.812,0.27,0.0,1.631
163,0.952,0.0,0.0,0.0,0.105,0.0,0.812,0.27,0.0,1.758
164,1.0,0.0,0.0,0.0,0.105,0.0,0.812,0.27,0.0,2.718
165,0.0,0.0,0.0,0.0,0.116,0.0,0.812,0.27,0.0,17.871
166,0.143,0.0,0.0,0.0,0.116,0.0,0.812,0.27,0.0,0.684
167,0.19,0.0,0.0,0.0,0.116,0.0,0.812,0.27,0.0,0.154
168,0.238,0.0,0.0,0.0,0.116,0.0,0.812,0.27,0.0,4.258
169,0.381,0.0,0.0,0.0,0.116,0.0,0.812,0.27,0.0,5.124
170,0.429,0.0,0.0,0.0,0.116,0.0,0.812,0.27,0.0,6.625
171,0.476,0.0,0.0,0.0,0.116,0.0,0.812,0.27,0.0,6.146
172,0.619,0.0,0.0,0.0,0.116,0.0,0.812,0.27,0.0,1.903
173,0.667,0.0,0.0,0.0,0.116,0.0,0.812,0.27,0.0,0.756
174,0.714,0.0,0.0,0.0,0.116,0.0,0.812,0.27,0.0,1.764
175,0.81,0.0,0.0,0.0,0.116,0.0,0.812,0.27,0.0,1.024
176,0.857,0.0,0.0,0.0,0.116,0.0,0.812,0.27,0.0,1.52
177,0.905,0.0,0.0,0.0,0.116,0.0,0.812,0.27,0.0,1.479
178,0.952,0.0,0.0,0.0,0.116,0.0,0.812,0.27,0.0,2.137
179,1.0,0.0,0.0,0.0,0.116,0.0,0.812,0.27,0.0,2.213
180,0.0,0.0,0.0,0.0,0.126,0.0,0.812,0.27,0.0,17.629
181,0.143,0.0,0.0,0.0,0.126,0.0,0.812,0.27,0.0,0.684
182,0.19,0.0,0.0,0.0,0.126,0.0,0.812,0.27,0.0,0.137
183,0.238,0.0,0.0,0.0,0.126,0.0,0.812,0.27,0.0,3.95
184,0.381,0.0,0.0,0.0,0.126,0.0,0.812,0.27,0.0,4.782
185,0.429,0.0,0.0,0.0,0.126,0.0,0.812,0.27,0.0,6.661
186,0.476,0.0,0.0,0.0,0.126,0.0,0.812,0.27,0.0,6.146
187,0.619,0.0,0.0,0.0,0.126,0.0,0.812,0.27,0.0,1.89
188,0.667,0.0,0.0,0.0,0.126,0.0,0.812,0.27,0.0,0.655
189,0.714,0.0,0.0,0.0,0.126,0.0,0.812,0.27,0.0,1.777
190,0.81,0.0,0.0,0.0,0.126,0.0,0.812,0.27,0.0,1.024
191,0.857,0.0,0.0,0.0,0.126,0.0,0.812,0.27,0.0,1.494
192,0.905,0.0,0.0,0.0,0.126,0.0,0.812,0.27,0.0,1.517
193,0.952,0.0,0.0,0.0,0.126,0.0,0.812,0.27,0.0,1.897
194,1.0,0.0,0.0,0.0,0.126,0.0,0.812,0.27,0.0,2.453
195,0.0,0.0,0.0,0.0,0.137,0.0,0.812,0.27,0.0,18.595
196,0.143,0.0,0.0,0.0,0.137,0.0,0.812,0.27,0.0,0.684
197,0.19,0.0,0.0,0.0,0.137,0.0,0.812,0.27,0.0,0.137
198,0.238,0.0,0.0,0.0,0.137,0.0,0.812,0.27,0.0,3.899
199,0.381,0.0,0.0,0.0,0.137,0.0,0.812,0.27,0.0,4.74
200,0.429,0.0,0.0,0.0,0.137,0.0,0.812,0.27,0.0,7.357
201,0.476,0.0,0.0,0.0,0.137,0.0,0.812,0.27,0.0,6.634
202,0.619,0.0,0.0,0.0,0.137,0.0,0.812,0.27,0.0,2.079
203,0.667,0.0,0.0,0.0,0.137,0.0,0.812,0.27,0.0,0.643
204,0.714,0.0,0.0,0.0,0.137,0.0,0.812,0.27,0.0,1.701
205,0.81,0.0,0.0,0.0,0.137,0.0,0.812,0.27,0.0,0.974
206,0.857,0.0,0.0,0.0,0.137,0.0,0.812,0.27,0.0,1.745
207,0.905,0.0,0.0,0.0,0.137,0.0,0.812,0.27,0.0,1.694
208,0.952,0.0,0.0,0.0,0.137,0.0,0.812,0.27,0.0,1.985
209,1.0,0.0,0.0,0.0,0.137,0.0,0.812,0.27,0.0,2.883
210,0.0,0.0,0.0,0.0,0.147,0.0,0.812,0.27,0.0,18.434
211,0.143,0.0,0.0,0.0,0.147,0.0,0.812,0.27,0.0,0.701
212,0.19,0.0,0.0,0.0,0.147,0.0,0.812,0.27,0.0,0.171
213,0.238,0.0,0.0,0.0,0.147,0.0,0.812,0.27,0.0,3.865
214,0.381,0.0,0.0,0.0,0.147,0.0,0.812,0.27,0.0,4.74
215,0.429,0.0,0.0,0.0,0.147,0.0,0.812,0.27,0.0,7.137
216,0.476,0.0,0.0,0.0,0.147,0.0,0.812,0.27,0.0,6.341
217,0.619,0.0,0.0,0.0,0.147,0.0,0.812,0.27,0.0,2.155
218,0.667,0.0,0.0,0.0,0.147,0.0,0.812,0.27,0.0,0.668
219,0.714,0.0,0.0,0.0,0.147,0.0,0.812,0.27,0.0,1.701
220,0.81,0.0,0.0,0.0,0.147,0.0,0.812,0.27,0.0,0.974
221,0.857,0.0,0.0,0.0,0.147,0.0,0.812,0.27,0.0,1.797
222,0.905,0.0,0.0,0.0,0.147,0.0,0.812,0.27,0.0,1.694
223,0.952,0.0,0.0,0.0,0.147,0.0,0.812,0.27,0.0,2.187
224,1.0,0.0,0.0,0.0,0.147,0.0,0.812,0.27,0.0,2.301
225,0.0,0.0,0.0,0.0,0.158,0.0,0.812,0.27,0.0,17.951
226,0.143,0.0,0.0,0.0,0.158,0.0,0.812,0.27,0.0,0.684
227,0.19,0.0,0.0,0.0,0.158,0.0,0.812,0.27,0.0,0.154
228,0.238,0.0,0.0,0.0,0.158,0.0,0.812,0.27,0.0,3.574
229,0.381,0.0,0.0,0.0,0.158,0.0,0.812,0.27,0.0,4.398
230,0.429,0.0,0.0,0.0,0.158,0.0,0.812,0.27,0.0,7.21
231,0.476,0.0,0.0,0.0,0.158,0.0,0.812,0.27,0.0,6.341
232,0.619,0.0,0.0,0.0,0.158,0.0,0.812,0.27,0.0,1.966
233,0.667,0.0,0.0,0.0,0.158,0.0,0.812,0.27,0.0,0.567
234,0.714,0.0,0.0,0.0,0.158,0.0,0.812,0.27,0.0,1.676
235,0.81,0.0,0.0,0.0,0.158,0.0,0.812,0.27,0.0,0.961
236,0.857,0.0,0.0,0.0,0.158,0.0,0.812,0.27,0.0,1.754
237,0.905,0.0,0.0,0.0,0.158,0.0,0.812,0.27,0.0,1.606
238,0.952,0.0,0.0,0.0,0.158,0.0,0.812,0.27,0.0,2.225
239,1.0,0.0,0.0,0.0,0.158,0.0,0.812,0.27,0.0,2.668
240,0.0,0.0,0.0,0.0,0.168,0.0,0.812,0.27,0.0,17.871
241,0.143,0.0,0.0,0.0,0.168,0.0,0.812,0.27,0.0,0.718
242,0.19,0.0,0.0,0.0,0.168,0.0,0.812,0.27,0.0,0.154
243,0.238,0.0,0.0,0.0,0.168,0.0,0.812,0.27,0.0,3.078
244,0.381,0.0,0.0,0.0,0.168,0.0,0.812,0.27,0.0,4.185
245,0.429,0.0,0.0,0.0,0.168,0.0,0.812,0.27,0.0,7.393
246,0.476,0.0,0.0,0.0,0.168,0.0,0.812,0.27,0.0,6.195
247,0.619,0.0,0.0,0.0,0.168,0.0,0.812,0.27,0.0,1.953
248,0.667,0.0,0.0,0.0,0.168,0.0,0.812,0.27,0.0,0.504
249,0.714,0.0,0.0,0.0,0.168,0.0,0.812,0.27,0.0,1.764
250,0.81,0.0,0.0,0.0,0.168,0.0,0.812,0.27,0.0,0.999
251,0.857,0.0,0.0,0.0,0.168,0.0,0.812,0.27,0.0,1.399
252,0.905,0.0,0.0,0.0,0.168,0.0,0.812,0.27,0.0,1.808
253,0.952,0.0,0.0,0.0,0.168,0.0,0.812,0.27,0.0,2.2
254,1.0,0.0,0.0,0.0,0.168,0.0,0.812,0.27,0.0,2.959
255,0.0,0.0,0.0,0.0,0.179,0.0,0.812,0.27,0.0,17.307
256,0.143,0.0,0.0,0.0,0.179,0.0,0.812,0.27,0.0,0.701
257,0.19,0.0,0.0,0.0,0.179,0.0,0.812,0.27,0.0,0.154
258,0.238,0.0,0.0,0.0,0.179,0.0,0.812,0.27,0.0,2.975
259,0.381,0.0,0.0,0.0,0.179,0.0,0.812,0.27,0.0,3.886
260,0.429,0.0,0.0,0.0,0.179,0.0,0.812,0.27,0.0,7.357
261,0.476,0.0,0.0,0.0,0.179,0.0,0.812,0.27,0.0,6.244
262,0.619,0.0,0.0,0.0,0.179,0.0,0.812,0.27,0.0,1.814
263,0.667,0.0,0.0,0.0,0.179,0.0,0.812,0.27,0.0,0.491
264,0.714,0.0,0.0,0.0,0.179,0.0,0.812,0.27,0.0,1.751
265,0.81,0.0,0.0,0.0,0.179,0.0,0.812,0.27,0.0,0.974
266,0.857,0.0,0.0,0.0,0.179,0.0,0.812,0.27,0.0,2.009
267,0.905,0.0,0.0,0.0,0.179,0.0,0.812,0.27,0.0,1.631
268,0.952,0.0,0.0,0.0,0.179,0.0,0.812,0.27,0.0,1.985
269,1.0,0.0,0.0,0.0,0.179,0.0,0.812,0.27,0.0,2.617
270,0.0,0.0,0.0,0.0,0.189,0.0,0.812,0.27,0.0,17.307
271,0.143,0.0,0.0,0.0,0.189,0.0,0.812,0.27,0.0,0.735
272,0.19,0.0,0.0,0.0,0.189,0.0,0.812,0.27,0.0,0.154
273,0.238,0.0,0.0,0.0,0.189,0.0,0.812,0.27,0.0,3.01
274,0.381,0.0,0.0,0.0,0.189,0.0,0.812,0.27,0.0,3.971
275,0.429,0.0,0.0,0.0,0.189,0.0,0.812,0.27,0.0,7.283
276,0.476,0.0,0.0,0.0,0.189,0.0,0.812,0.27,0.0,6.097
277,0.619,0.0,0.0,0.0,0.189,0.0,0.812,0.27,0.0,1.827
278,0.667,0.0,0.0,0.0,0.189,0.0,0.812,0.27,0.0,0.403
279,0.714,0.0,0.0,0.0,0.189,0.0,0.812,0.27,0.0,1.89
280,0.81,0.0,0.0,0.0,0.189,0.0,0.812,0.27,0.0,1.012
