ID,hour,holiday,maxtemp,mintemp,load
472,0.926,1,0.906,0.63,23.345
473,0.937,1,0.906,0.63,22.137
474,0.947,1,0.906,0.63,20.85
475,0.958,1,0.906,0.63,20.366
476,0.968,1,0.906,0.63,20.447
477,0.979,1,0.906,0.63,21.091
478,0.989,1,0.906,0.63,20.85
479,1,1,0.906,0.63,20.286
480,0,1,1,0.78,20.93
481,0.011,1,1,0.78,21.252
482,0.021,1,1,0.78,21.091
483,0.032,1,1,0.78,20.769
484,0.042,1,1,0.78,20.688
485,0.053,1,1,0.78,20.528
486,0.063,1,1,0.78,20.608
487,0.074,1,1,0.78,20.366
488,0.084,1,1,0.78,21.413
489,0.095,1,1,0.78,19.481
490,0.105,1,1,0.78,18.917
491,0.116,1,1,0.78,19.079
492,0.126,1,1,0.78,17.629
493,0.137,1,1,0.78,18.354
494,0.147,1,1,0.78,18.837
495,0.158,1,1,0.78,17.951
496,0.168,1,1,0.78,17.71
497,0.179,1,1,0.78,17.469
498,0.189,1,1,0.78,17.791
499,0.2,1,1,0.78,17.388
500,0.211,1,1,0.78,17.066
501,0.221,1,1,0.78,18.193
502,0.232,1,1,0.78,17.307
503,0.242,1,1,0.78,17.469
504,0.253,1,1,0.78,17.629
505,0.263,1,1,0.78,19.159
506,0.274,1,1,0.78,18.595
507,0.284,1,1,0.78,18.757
508,0.295,1,1,0.78,19.481
509,0.305,1,1,0.78,20.528
510,0.316,1,1,0.78,21.252
511,0.326,1,1,0.78,22.862
512,0.337,1,1,0.78,26.001
513,0.347,1,1,0.78,28.014
514,0.358,1,1,0.78,30.429
515,0.368,1,1,0.78,30.268
516,0.379,1,1,0.78,30.51
517,0.389,1,1,0.78,31.395
518,0.4,1,1,0.78,31.798
519,0.411,1,1,0.78,31.395
520,0.421,1,1,0.78,32.361
521,0.432,1,1,0.78,32.039
522,0.442,1,1,0.78,32.441
523,0.453,1,1,0.78,32.764
524,0.463,1,1,0.78,33.166
525,0.474,1,1,0.78,34.776
526,0.484,1,1,0.78,34.695
527,0.495,1,1,0.78,33.729
528,0.505,1,1,0.78,27.451
529,0.516,1,1,0.78,24.392
530,0.526,1,1,0.78,23.667
531,0.537,1,1,0.78,23.587
532,0.547,1,1,0.78,24.472
533,0.558,1,1,0.78,26.726
534,0.568,1,1,0.78,28.497
535,0.579,1,1,0.78,29.785
536,0.589,1,1,0.78,30.751
537,0.6,1,1,0.78,29.543
538,0.611,1,1,0.78,30.026
539,0.621,1,1,0.78,30.348
540,0.632,1,1,0.78,30.348
541,0.642,1,1,0.78,28.336
542,0.653,1,1,0.78,28.658
543,0.663,1,1,0.78,27.853
544,0.674,1,1,0.78,27.289
545,0.684,1,1,0.78,26.968
546,0.695,1,1,0.78,27.692
547,0.705,1,1,0.78,27.934
548,0.716,1,1,0.78,27.37
549,0.726,1,1,0.78,28.417
550,0.737,1,1,0.78,28.497
551,0.747,1,1,0.78,27.289
552,0.758,1,1,0.78,25.438
553,0.768,1,1,0.78,24.875
554,0.779,1,1,0.78,25.358
555,0.789,1,1,0.78,24.875
556,0.8,1,1,0.78,26.082
557,0.811,1,1,0.78,26.243
558,0.821,1,1,0.78,27.37
559,0.832,1,1,0.78,27.209
560,0.842,1,1,0.78,27.692
561,0.853,1,1,0.78,27.531
562,0.863,1,1,0.78,26.968
563,0.874,1,1,0.78,27.128
564,0.884,1,1,0.78,26.243
565,0.895,1,1,0.78,26.484
566,0.905,1,1,0.78,24.955
567,0.916,1,1,0.78,24.311
568,0.926,1,1,0.78,22.942
569,0.937,1,1,0.78,21.735
570,0.947,1,1,0.78,21.735
571,0.958,1,1,0.78,20.286
572,0.968,1,1,0.78,19.159
573,0.979,1,1,0.78,21.091
574,0.989,1,1,0.78,20.447
575,1,1,1,0.78,20.769
576,0,0,0.862,1,19.883
577,0.011,0,0.862,1,19.964
578,0.021,0,0.862,1,19.159
579,0.032,0,0.862,1,19.159
580,0.042,0,0.862,1,19.642
581,0.053,0,0.862,1,19.481
582,0.063,0,0.862,1,19.159
583,0.074,0,0.862,1,19.481
584,0.084,0,0.862,1,19.079
585,0.095,0,0.862,1,18.917
586,0.105,0,0.862,1,17.951
587,0.116,0,0.862,1,18.274
588,0.126,0,0.862,1,16.905
589,0.137,0,0.862,1,16.986
590,0.147,0,0.862,1,17.629
591,0.158,0,0.862,1,17.469
592,0.168,0,0.862,1,17.066
593,0.179,0,0.862,1,16.905
594,0.189,0,0.862,1,17.307
595,0.2,0,0.862,1,15.698
596,0.211,0,0.862,1,16.261
597,0.221,0,0.862,1,15.939
598,0.232,0,0.862,1,16.503
599,0.242,0,0.862,1,17.791
